DB00001,DB00006,0.810127,1
DB00001,DB00007,0.835443,0
DB00001,DB00010,0.691358,0
DB00001,DB00014,0.750000,0
DB00001,DB00017,0.898734,0
DB00001,DB00035,0.784810,0
DB00001,DB00050,0.732558,0
DB00001,DB00063,0.772152,0
DB00001,DB00067,0.835443,0
DB00001,DB00091,0.653846,0
DB00001,DB00093,0.770270,0
DB00001,DB00094,0.918919,0
DB00001,DB00104,0.786667,0
DB00001,DB00106,0.780488,0
DB00001,DB00107,0.905405,0
DB00001,DB00109,0.813333,0
DB00001,DB00114,0.404762,0
DB00001,DB00115,0.663265,0
DB00001,DB00116,0.604938,0
DB00001,DB00117,0.418919,0
DB00001,DB00118,0.670588,0
DB00001,DB00119,0.133333,0
DB00001,DB00120,0.283784,0
DB00001,DB00121,0.531646,0
DB00001,DB00122,0.303797,0
DB00001,DB00123,0.351351,0
DB00001,DB00125,0.316456,0
DB00001,DB00126,0.316456,0
DB00001,DB00127,0.280000,0
DB00001,DB00128,0.324324,0
DB00001,DB00129,0.337838,0
DB00001,DB00130,0.364865,0
DB00001,DB00131,0.568182,0
DB00001,DB00132,0.223684,0
DB00001,DB00133,0.324324,0
DB00001,DB00134,0.315789,0
DB00001,DB00135,0.351351,0
DB00001,DB00136,0.353659,0
DB00001,DB00137,0.225000,0
DB00001,DB00138,0.391892,0
DB00001,DB00139,0.202703,0
DB00001,DB00140,0.675000,0
DB00001,DB00141,0.480519,0
DB00001,DB00142,0.324324,0
DB00001,DB00143,0.486486,0
DB00001,DB00144,0.445783,0
DB00001,DB00145,0.256757,0
DB00001,DB00146,0.317073,0
DB00001,DB00147,0.381579,0
DB00001,DB00148,0.325000,0
DB00001,DB00149,0.297297,0
DB00001,DB00150,0.391892,0
DB00001,DB00151,0.297297,0
DB00001,DB00152,0.506024,0
DB00001,DB00153,0.268293,0
DB00001,DB00154,0.233766,0
DB00001,DB00155,0.389610,0
DB00001,DB00156,0.256757,0
DB00001,DB00157,0.593407,0
DB00001,DB00158,0.587500,0
DB00001,DB00159,0.223684,0
DB00001,DB00160,0.202703,0
DB00001,DB00161,0.229730,0
DB00001,DB00162,0.209877,0
DB00001,DB00163,0.320988,0
DB00001,DB00165,0.415584,0
DB00001,DB00166,0.346667,0
DB00001,DB00167,0.283784,0
DB00001,DB00168,0.428571,0
DB00001,DB00169,0.280488,0
DB00001,DB00170,0.153846,1
DB00001,DB00171,0.590909,0
DB00001,DB00172,0.378378,0
DB00001,DB00173,0.285714,0
DB00001,DB00174,0.378378,0
DB00001,DB00175,0.382716,0
DB00001,DB00176,0.337079,0
DB00001,DB00177,0.614458,0
DB00001,DB00178,0.623377,0
DB00001,DB00179,0.285714,0
DB00001,DB00180,0.404494,0
DB00001,DB00181,0.282051,0
DB00001,DB00182,0.175676,0
DB00001,DB00183,0.683544,0
DB00001,DB00184,0.341772,0
DB00001,DB00185,0.365854,0
DB00001,DB00186,0.337209,0
DB00001,DB00187,0.468354,0
DB00001,DB00188,0.493671,0
DB00001,DB00189,0.112500,0
DB00001,DB00190,0.426829,0
DB00001,DB00191,0.197368,0
DB00001,DB00192,0.367089,0
DB00001,DB00193,0.425000,0
DB00001,DB00195,0.448718,0
DB00001,DB00196,0.421687,0
DB00001,DB00197,0.534884,0
DB00001,DB00198,0.518987,0
DB00001,DB00200,0.677083,0
DB00001,DB00201,0.475000,0
DB00001,DB00202,0.387500,0
DB00001,DB00203,0.595960,0
DB00001,DB00204,0.478261,0
DB00001,DB00205,0.282353,0
DB00001,DB00206,0.580247,0
DB00001,DB00208,0.317073,0
DB00001,DB00209,0.421687,0
DB00001,DB00210,0.209877,0
DB00001,DB00211,0.532468,0
DB00001,DB00212,0.627907,0
DB00001,DB00213,0.408602,0
