family,silhouette_score
agc_kinase,0.04122287
cmgc_kinase,0.085895345
other,0.059468757
receptor_tyrosine_kinase,0.026526624
ste_ser_thr_kinase,-0.054118562
tyrosine_kinase,0.062084224
