cutoff,accuracy,precision,tpr,fpr
0.0,0.013223777121581718,0.013223777121581718,1.0,1.0
0.05,0.9604570548209013,0.18461538461538463,0.5825242718446602,0.03447827218319022
0.1,0.96642701245346,0.20593692022263452,0.5388349514563107,0.027842831121519647
0.15000000000000002,0.96822441905251,0.21611001964636542,0.5339805825242718,0.025956284153005466
0.2,0.9702785980228528,0.22717622080679406,0.5194174757281553,0.023679417122040074
0.25,0.9709847220439081,0.22666666666666666,0.49514563106796117,0.02263856362217018
0.30000000000000004,0.971562459879317,0.23006833712984054,0.49029126213592233,0.021988030184751498
0.35000000000000003,0.9724611631788419,0.23515439429928742,0.48058252427184467,0.020947176684881604
0.4,0.9731030941070741,0.23703703703703705,0.46601941747572817,0.020101483216237316
0.45,0.9734882526640134,0.24060150375939848,0.46601941747572817,0.019711163153786106
0.5,0.9740017974065991,0.2402088772845953,0.44660194174757284,0.018930523028883685
0.55,0.9746437283348311,0.24664879356568364,0.44660194174757284,0.018279989591465002
0.6000000000000001,0.9749646937989472,0.24444444444444444,0.42718446601941745,0.017694509497788186
0.65,0.9752856592630633,0.2420749279538905,0.4077669902912621,0.01710902940411137
0.7000000000000001,0.9754782385415329,0.23493975903614459,0.3786407766990291,0.016523549310434555
0.75,0.9760559763769419,0.23824451410658307,0.36893203883495146,0.015807962529274005
0.8,0.9768262934908204,0.23905723905723905,0.3446601941747573,0.014702055685662243
0.8500000000000001,0.9771472589549365,0.2302158273381295,0.3106796116504854,0.013921415560759823
0.9,0.9775966106046989,0.2151394422310757,0.2621359223300971,0.012815508717148061
0.9500000000000001,0.978495313904224,0.18536585365853658,0.18446601941747573,0.01086390840489201
1.0,0.9879498319534388,0.19047619047619047,0.029850746268656716,0.0014090343970161625
